"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:JORJI0","@A passport is required.","@护照是必需的。"
"traveler:JORJI0","Ok, ok. I hear you.","好吧，好吧，我知道了。"
"traveler:JORJI0","I come back again.","我会再回来的。"
"traveler:JORJI1","Ok! Hello again!","你好！又见面啦！"
"traveler:JORJI1","Now I have passport!","现在我有护照啦！"
"traveler:JORJI1","Arstotzka still best country for sure!","阿斯托茨卡还是最棒的国家，妥妥的！"
"traveler:JORJI1","@This passport is crude fake.","@这份护照是个粗制滥造的假证。"
"traveler:JORJI1","Hey now! Is not true!","喂喂！不是吧！"
"traveler:JORJI1","Is pre-approved!","这可是预审过的！"
"traveler:JORJI1","@ Cobrastan is not a real country.","@ 科布拉斯坦不是个真的国家。"
"traveler:JORJI1","Ok, ok.","好吧，好吧。"
"traveler:JORJI1","You no like passport, I understand.","你不喜欢护照，我懂了。"
"traveler:JORJI1","I come back again with better one.","我会在回来的，到时候弄一个更好的。"
"traveler:JORJI2","Old friend hello!","你好啊我的老朋友！"
"traveler:JORJI2","I am back again!","我又回来啦！"
"traveler:JORJI2","This time everything set.","这次所有东西都妥了。"
"traveler:JORJI2","@You are missing an entry permit.","@你缺了入境许可证。"
"traveler:JORJI2","Oh man you funny guy!","嘿你别逗我了！"
"traveler:JORJI2","@An entry permit is required.","@入境许可证是必需的。"
"traveler:JORJI2","Wow, you run very strict border here.","喔，你们这儿边检可真严格啊。"
"traveler:JORJI2","That is good. Do job right.","不过这是对的。工作就是要认真。"
"traveler:JORJI2","I look for entry thing and come back.","我会去找找这个入境啥玩意儿然后再回来的。"
"traveler:JORJI3","Hey it is me!","嗨，是我啊！"
"traveler:JORJI3","Are you happy to see?","见到我开心吗？"
"traveler:JORJI3","I have everything you ask for now.","我拿到了你需要的所有文件。"
"traveler:JORJI3","@Tickets are no longer accepted.","@入境凭证已经不被接受了。"
"traveler:JORJI3","Hey no!","喂，不是吧！"
"traveler:JORJI3","Guy sold me ticket. Say is good!","那个买证给我的人说能用啊！"
"traveler:JORJI3","You check again maybe.","你是不是能再查查。"
"traveler:JORJI3","@Do not come back again.","@别再回来了。"
"traveler:JORJI3","Haha!","哈哈！"
"traveler:JORJI3","You nice guy but I have business in Arstotzka.","你是个好人，但是我在阿斯托茨卡有生意。"
"traveler:JORJI3","I get right papers and come see you.","我会搞到需要的文件再来看你的。"
"traveler:JORJI4","Hello my guy!","你好啊哥们儿！"
"traveler:JORJI4","Ok. Today is day!","好了，今天一定能行！"
"traveler:JORJI4","Look at all good papers.","看看这所有的文件。"
"traveler:JORJI4","Was not easy.","搞全它们可不容易。"
"traveler:JORJI4","Or cheap! Haha!","也不便宜！哈哈！"
"traveler:JORJI4","@I told you not to come back.","@我都叫你别再回来了。"
"traveler:JORJI4","This is crap.","别扯淡了。"
"traveler:JORJI4","You know what? Forget it.","好了，啥都别说了。"
"traveler:JORJI4","Arstotzka worst country.","阿斯托茨卡是最烂的国家。"
"traveler:JORJI4","You worst person.","你也是个大烂人。"
"traveler:JORJI4","Thank you so much!","太谢谢你了！"
"traveler:JORJI4","If I am honest to you, I was little nervous.","说实话，我其实还有点担心。"
"traveler:JORJI4","Even with right papers is hard to say.","即使我准备齐了所有文件，我也不确定是不是能入境。"
"traveler:JORJI4","Ok bye!","好了，再见！"
"traveler:JORJI_SMUGGLE0","Again I am here!","我又来啦！"
"traveler:JORJI_SMUGGLE0","Everything all set up now.","所有文件都齐了。"
"traveler:JORJI_SMUGGLE0","I come through often to see you.","我经常过来就是为了见你。"
"traveler:JORJI_SMUGGLE0","We become good friends!","我们可是要好的朋友啊！"
"traveler:JORJI_SMUGGLE0","@Your weight is different.","@你的体重有问题。"
"traveler:JORJI_SMUGGLE0","Is sad story.","这是个悲伤的故事。"
"traveler:JORJI_SMUGGLE0","My wife very bad cook.","我老婆做饭的手艺奇烂无比。"
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.","但我要是不吃她做的菜，她就会发飙。"
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!","哦不，可能你不喜欢这个！"
"traveler:JORJI_SMUGGLE0","@What is this?","@这是什么？"
"traveler:JORJI_SMUGGLE0","Is drugs!","毒品！"
"traveler:JORJI_SMUGGLE0","I have little side business here.","我在这里有点小生意。"
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.","你让我过关的话我会给你点东西意思意思。"
"traveler:JORJI_SMUGGLE0","@Something what?","@什么意思意思？"
"traveler:JORJI_SMUGGLE0","Ten credits.","10分。"
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.","你盖一下那个小小的章我就给你10分。"
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.","@Jorji，在这里等一下。"
"traveler:JORJI_SMUGGLE0","Is ok, I understand.","没问题，我懂的。"
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.","毒品不是什么好东西，对孩子很不好。"
"traveler:JORJI_SMUGGLE0","You do great work here still.","你在这里还是一如既往的认真工作。"
"traveler:JORJI_SMUGGLE0","Ok!","好的！"
"traveler:JORJI_SMUGGLE0","We go full speed!","我们快快的搞定！"
"traveler:JORJI_SMUGGLE0","Hey what is problem?","嘿，出了什么问题？"
"traveler:JORJI_SMUGGLE0","@I do not trust you.","@我不信任你。"
"traveler:JORJI_SMUGGLE0","Ok, ok.","好吧，好吧。"
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.","你是个正直的人我下次再来一定让你信任。"
"traveler:JORJI_SMUGGLE1","Ok, I am back!","好了，我又回来了！"
"traveler:JORJI_SMUGGLE1","Same procedure!","老样子！"
"traveler:JORJI_SMUGGLE1","They told me this hard business.","他们告诉我这个生意不好做。"
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!","到目前为止还一帆风顺。"
"traveler:JORJI_SMUGGLE1","Thanks to you!","非常谢谢你！"
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.","给你老婆买点东西哄她开心。"
"traveler:JORJI_SMUGGLE1","Phew!","嘘！"
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.","虽然不容易，但是我还是很幸运，卫兵很好搞定。"
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.","他问我要很贵的通融费，但那也是合理的。"
"traveler:JORJI_SMUGGLE1","Oh man, again!","不是吧，又来！"
"traveler:JORJI_SMUGGLE1","That guard have another good day.","那个卫兵又能赚一票了。"
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!","真搞不懂我不出货怎么能活下来。"
"traveler:JORJI_SMUGGLE1","Ok, we try again!","好吧，我们再重新来一次！"
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.","非常抱歉打扰了你，但这是我唯一的工作。"
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.","@Jorji，在这里等一下。"
"traveler:JORJI_SMUGGLE1","Is ok, I understand.","没问题，我懂的。"
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.","毒品不是什么好东西，对孩子很不好。"
"traveler:JORJI_SMUGGLE1","You do great work here still.","你在这里还是一如既往的认真工作。"
"traveler:JORJI_SMUGGLE1","@I see a difference here.","@我看出区别了。"
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.","这的确很神奇。"
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.","Maybe things get too sexy in here."
"traveler:JORJI_SMUGGLE1","@Drugs?","@毒品？"
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?","看上去是不错的玩意儿吧？"
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!","手下留情！我愿意用10分换你的批准章！"
"traveler:JORJI_SMUGGLE1","Think about family!","想想你的家人！"
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.","用这些分他们能买很多让他们开心的东西了。"
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!","只是一些没有害处的小药片而已！"
"traveler:JORJI_SMUGGLE1","This much better, see?","这样就对了，你看？"
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.","喔，你真是个出色的人才。"
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.","Maybe is not so good for me when I think about."
"traveler:JORJI_CRIMINAL","Is good to see you again!","很高兴我们又见面了！"
"traveler:JORJI_CRIMINAL","Today I come just for short visit.","几天我只是来见你一面。"
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.","我这里一切都很顺利。"
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!","肯定没有被通缉还是别的啥的！"
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.","@你的通缉令已经贴出来了。"
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!","啥！我花了大钱买通了那些警察的啊！"
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.","他们给我保证我不会被通缉，也保证一切都没问题。"
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.","我在信任对我友好的人之前总是会在三考虑。"
"traveler:JORJI_CRIMINAL","Hey I really like you.","我真的很喜欢你这样的人。"
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.","我知道帮助我非常危险。"
"traveler:JORJI_CRIMINAL","I try to make it up for you.","我会尽量补偿你的。"
"traveler:JORJI_CRIMINAL","Ah, is ok.","阿，没问题。"
"traveler:JORJI_CRIMINAL","At least you do not arrest me.","至少你没有拘捕我。"
"traveler:JORJI_CRIMINAL","Thanks anyways.","还是谢谢你。"
"traveler:JORJI_CRIMINAL","@Sorry Jorji.","@对不起Jorji。"
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.","咳，没事。大多数警察都已经认识我了。"
"traveler:JORJI_CRIMINAL","I have little talk with them again.","我跟他们没什么好说的。"
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.","总是，你这个也是个苦差啊。"
"traveler:JORJI_CRIMINAL","I rather sell drugs!","换我的话还是更愿意贩毒！"
"traveler:JORJI_PASSPORTS","I read newspaper.","我看了报纸上的新闻。"
"traveler:JORJI_PASSPORTS","@Hello Jorji.","@你好啊Jorji。"
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.","阿斯托茨卡的情况有点糟。"
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.","你是不是考虑下先离开一段时间。"
"traveler:JORJI_PASSPORTS","Obristan is good place.","奥布里斯坦是个不错的地方。"
"traveler:JORJI_PASSPORTS","Right next door up north.","就在不远的北方。"
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.","@我们的护照都被没收了。"
"traveler:JORJI_PASSPORTS","@We cannot leave.","@没办法跑路。"
"traveler:JORJI_PASSPORTS","Hey that not good sign.","嘿，那可不是什么好兆头。"
"traveler:JORJI_PASSPORTS","Hold on.","等等。"
"traveler:JORJI_PASSPORTS","I know a guy.","我认识一哥们儿。"
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.","拿一本真的护照给他。"
"traveler:JORJI_PASSPORTS","He changes info to match for you.","他能把上面的信息都改成你的。"
"traveler:JORJI_PASSPORTS","I learn that in hard way.","我可是走了好多弯路才知道的啊。"
"traveler:JORJI_PASSPORTS","Thanks again!","再次感谢！"
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.","哈！你可能是对的。"
"traveler:JORJI_PASSPORTS","Better to take little break.","最好别在耽搁了。"
"traveler:JORJI_PASSPORTS","Hey what the hell?","喂，搞什么啊！"
"traveler:JORJI_PASSPORTS","You take my passport!","你把我的护照给没收了！"
"traveler:JORJI_PASSPORTS","You can see it was expensive!","你知道我花了大价钱才搞到的！"
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.","@是你说我需要弄本真的奥布里斯坦护照的啊。"
"traveler:JORJI_PASSPORTS","Man. Fine.","好吧，哥们儿。"
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.","我会再弄一本，但我对此不太开心。"
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.","Memorize flyer and give back."
"traveler:JORJI_PASSPORTS","Hey you know what.","嘿这样吧。"
"traveler:JORJI_PASSPORTS","Take my passport.","把我的护照拿上。"
"traveler:JORJI_PASSPORTS","I get another one no problem.","没问题，我会再搞一本。"
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.","Now memorize flyer and give back if you finish reading."
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","我可不想惹上麻烦！"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.","这个季节的奥布里斯坦真的很棒。"
"traveler:JORJI_PASSPORTS","Lots of snow.","很多雪。"
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.","不知道你哪儿能搞到更多的护照给你的家人。"
"traveler:JORJI_PASSPORTS","But you smart guy.","但你是个聪明人。"
"traveler:JORJI_PASSPORTS","Probably figure it out!","应该能自己想办法！"
"traveler:JORJI_PASSPORTS","Good luck.","祝你好运。"
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","嗨兄弟！我挣到大钱了！"
"traveler:JORJI_GOODBYE","Huge! You have no idea!","非常多！你都想象不到的多！"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.","总之，我只是想给你说声谢谢。"
"traveler:JORJI_GOODBYE","I wait in line just for that!","我排了好长的队只是为了这个！"
"traveler:JORJI_GOODBYE","Maybe I quit now.","可能我会金盆洗手。"
"traveler:JORJI_GOODBYE","Haha!","哈哈！"
"traveler:BROTHEL0","Hello handsome.","嗨，小帅哥。"
"traveler:BROTHEL0","You look bored.","你看上去很寂寞啊。"
"traveler:BROTHEL0","If you want good time, come see us.","如果你想开心开心，就来找我们哦。"
"traveler:BROTHEL0","I will be around couple months.","我会在这儿呆几个月。"
"traveler:BROTHEL0","Don't forget to visit.","别忘了来玩儿哦。"
"traveler:BROTHEL1","Hey there.","嗨。"
"traveler:BROTHEL1","I can make you happy any time.","我什么时候都能让你开心。"
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.","到粉色罪恶来。点名找Ava。"
"traveler:BROTHEL2","Oh. Here.","哦，这个。"
"traveler:BROTHEL2","Please help me.","请帮帮我。"
"traveler:BROTHEL3","Hello friend.","你好啊，我的朋友。"
"traveler:BROTHEL3","You come down, I give you good girl.","来店里逛逛，我给你介绍好女孩儿。"
"traveler:BROTHEL3","That little bitch.","那个小贱人。"
"traveler:BROTHEL3","I break her in two.","我要把她给砍了。"
"traveler:BROTHEL3","@You are Dari Ludum?","@你是Dari Ludum吗？"
"traveler:BROTHEL3","Of course, it says on passport.","废话，护照上不是写着么。"
"traveler:BROTHEL3","@One moment.","@请稍等。"
"traveler:BROTHEL3","What is this shit?","这他妈是干吗？"
"traveler:BROTHEL3","Give my papers back.","把护照还给我。"
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@你就是Vince Lestrade？"
"traveler:KILLERATHLETE","Damn.","妈的。"
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.","我真没杀她，我是被陷害的。"
"traveler:KILLERATHLETE","Do not believe the Republian lies.","别相信那些里帕布里亚人说的谎话。"
"traveler:KILLERATHLETE","Let me through.","让我通过吧。"
"traveler:KILLERATHLETE","Shit.","操！"
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","今天天气真好啊，我的朋友。"
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","我们终于逃出了安太格里亚暴君的魔掌！"
"traveler:HUSBAND_WIFE0","Thank you so much!","太谢谢你了！"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","请善待我的妻子，她就排在我后面。"
"traveler:HUSBAND_WIFE0","No! They will kill us!","不！他们会杀了我们！"
"traveler:HUSBAND_WIFE0","Please, I beg you.","求求你，我求求你。"
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","让我妻子通过吧。她就排在下一个。"
"traveler:HUSBAND_WIFE1","Did you see my husband?","你见到我的丈夫了吗？"
"traveler:HUSBAND_WIFE1","He made it through, yes?","他已经通过了，是么？"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@你的入境许可证呢？"
"traveler:HUSBAND_WIFE1","Please, I beg you.","求求你，我求求你。"
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","他们不给我发许可证。我没有别的选择。"
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","如果我回到安太格里亚的话他们会杀了我的。"
"traveler:HUSBAND_WIFE1","Thank you.","谢谢你。"
"traveler:HUSBAND_WIFE1","We will not forget.","我们不会忘记你的。"
"traveler:HUSBAND_WIFE1","Why?","为什么？"
"traveler:HUSBAND_WIFE1","You have doomed me.","你这样等于判了我的死刑。"
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","为什么你不让我的丈夫入境？"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","我不会让他独自去死。"
"traveler:HUSBAND_WIFE1","You have doomed us both.","你给我们两个都判了死刑。"
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","你每天要见很多人吧？"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","我在招工程师。"
"traveler:HIRING_ENGINEERS_START","Do me a favor.","帮我个忙。"
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","当你遇到工程师的时候就把我的名片给他们。"
"traveler:HIRING_ENGINEERS_START","I come back in few days.","我过几天会回来。"
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","每当有一个工程师给我打电话我就给你5分。"
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","你弄错了，不过我可以给你时间改正。"
"traveler:HIRING_ENGINEERS","What is this?","这是什么？"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","哦，哈; 嗯。 ; 他们在招人？"
"traveler:HIRING_ENGINEERS","I have already.","我已经有了。"
"traveler:HIRING_ENGINEERS","Stop giving to me.","别再给我了。"
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","算了吧，这两张都拿回去，我不需要。"
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","这些卡不错吧？; 谢谢; 你知道么这些可不便宜。;"
"traveler:HIRING_ENGINEERS_END","I am back.","我回来了。"
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","你一共遇到多少个工程师？"
"traveler:HIRING_ENGINEERS_END","I got no calls.","我一个电话都没接到。"
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","你没把我的名片给任何人。"
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","我可得好好谢谢你这个啥事都没做的人。"
"traveler:HIRING_ENGINEERS_END","I get only one call.","我只接到一个电话。"
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","不过我很幸运，他开了个好头。"
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","这些是我答应给你的。"
"traveler:HIRING_ENGINEERS_END","I got two calls.","我接到了两个电话。"
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","其中一个还不错。"
"traveler:HIRING_ENGINEERS_END","Other one not so much.","另外一个就不怎么样了。"
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","不过还是谢谢你。"
"traveler:HIRING_ENGINEERS_END","I got three calls.","我接到了三个电话。"
"traveler:HIRING_ENGINEERS_END","Two guys were good.","其中两个都很不错。"
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","最后一个是个笨蛋。连基础都不懂。"
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","但没什么。我很感谢你。"
"traveler:HIRING_ENGINEERS_END","I got four calls.","我接到了四个电话。"
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","三个是做土木工程的。根本没用。"
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","我告诉过你的，我需要机械工程师。"
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","不过算了。最后一个还挺聪明的。"
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","多谢你的帮忙。"
"traveler:FRIENDLY_GUARD0","Hello.","你好。"
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","听说你是从尼尔斯克来的？"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","我在那儿长大的，不过已经很多年没回去过了。"
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@那里还是一塌糊涂。跟以前一样。"
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","哈哈，那是当然。我的记忆里也是那个样子。"
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","我叫Sergiu。很高兴认识你。"
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","我会尽全力保卫你的安全。"
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","昨天谢谢你。"
"traveler:FRIENDLY_GUARD1","My aim is not like before.","我已经没有从前准了。"
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","在这个边检站的行动比打仗的时候还要多。"
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","我在科勒齐亚打了5年仗。"
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","如果你觉得阿斯托茨卡很差的话，科勒齐亚比这里差十倍。"
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","所以我并不怪这些从那里来的这些入境者们。"
"traveler:FRIENDLY_GUARD2","Anyways, you are doing well. Keep it up.","不过，你工作做得很好，继续努力吧。"
"traveler:FRIENDLY_GUARD3","Friend, how are you?","朋友，你好吗？"
"traveler:FRIENDLY_GUARD3","I have a small favor to ask.","我想叫你帮个小忙。"
"traveler:FRIENDLY_GUARD3","During the war, I met a beautiful girl.","在打仗时我遇见过一个美丽的姑娘。"
"traveler:FRIENDLY_GUARD3","I think about her every moment.","我无时无刻不在想念着她。"
"traveler:FRIENDLY_GUARD3","Yesterday I receive word that she is finally coming here.","昨天我听说她终于要来这里了。"
"traveler:FRIENDLY_GUARD3","Please, let her pass and I will be in your debt.","请你一定要让她入境，我欠你一个人情。"
"traveler:FRIENDLY_GUARD3","Her name is Elisa.","她叫Elisa。"
"traveler:FRIENDLY_GUARD4","Thank you for everything.","感谢你所做的一切。"
"traveler:FRIENDLY_GUARD4","Elisa is so happy here.","Elisa在这里非常开心。"
"traveler:FRIENDLY_GUARD4","She says our first son will have your name.","她说我们的第一个孩子会取跟你一样的名字。"
"traveler:FRIENDLY_GUARD4","This is fine but I told her I want a daughter first!","这没问题，不过我告诉她第一个孩子我想要女儿！"
"traveler:FRIENDLY_GUARD4","I would like to show the locket to her.","我想把那个坠子项链给她看。"
"traveler:FRIENDLY_GUARD4","Do you still have it?","还在你这儿吧？"
"traveler:FRIENDLY_GUARD4","Ah, I missed not having this with me.","啊，这东西不在身边的时候我还真想念啊。"
"traveler:FRIENDLY_GUARD4","It is not much, but we have found a small way to thank you.","虽然礼薄，但是也是我们的一点心意。"
"traveler:FRIENDLY_GUARD4","Elisa will deliver it to your home. I hope that it helps.","Elisa会把它送到你家，我希望这个能对你有用。"
"traveler:FRIENDLY_GUARD4","Tomorrow I am transferred to another post.","明天起我就会被调去另一个前哨站了。"
"traveler:FRIENDLY_GUARD4","Stay safe my friend.","朋友你自己多保重。"
"traveler:FRIENDLY_GUARD4","Elisa did not come.","Elisa没有来。"
"traveler:FRIENDLY_GUARD4","@She arrived, but her papers were not in order.","@她来了检查站，不过她的文件有点问题。"
"traveler:FRIENDLY_GUARD4","@Tell her to try again with the correct documents.","@我告诉他拿到正确的文件后再来。"
"traveler:FRIENDLY_GUARD4","You know this is impossible.","你知道这不可能。"
"traveler:FRIENDLY_GUARD4","If you have the locket, give it back to me.","如果你还带着那个坠子项链，就把它还给我。"
"traveler:ELISA","Do you know Sergiu?","你认识Sergiu吗?"
"traveler:ELISA","He said you were friend. That you would help.","他说你是他的朋友，你会帮忙的。"
"traveler:ELISA","Please, my family is gone.","求求你，我的家人都死了。"
"traveler:ELISA","I have only Sergiu left.","我只剩Sergiu了。"
"traveler:ELISA","@You do not have the required documentation.","@你没有入境所需的文件。"
"traveler:ELISA","I tried for so long.","我尝试了很久。"
"traveler:ELISA","They would not allow me to leave.","他们不准我离境。"
"traveler:ELISA","I am denied?","我是被拒绝入境了吗？"
"traveler:ELISA","I understand.","我也明白。"
"traveler:ELISA","Please, tell Sergiu I will always love him.","请帮我转告Sergiu，我会永远爱他。"
"traveler:ELISA","We will be together in another life.","我们来生会再相会。"
"traveler:ELISA","Return this for him to remember me.","把这个还给他让他好记住我。"
"traveler:ELISA","Thank you so much.","非常感谢你。"
"traveler:ELISA","I will never forget your kindness.","我也永远不会忘记你的恩情。"
"traveler:ELISA","@He is waiting for you.","@他在等着你。"
"traveler:ELISA","My love.","我的爱人。"
"traveler:ELISA","I miss him.","我好想念他。"
"traveler:ELISA","@I am sorry. Sergiu was killed.","@对不起，Sergiu已经死了。"
"traveler:ELISA","My Sergiu.","我的Sergiu。"
"traveler:ELISA","Thank you for your kindness.","谢谢你的好意。"
"traveler:ELISA","There is nothing for me here any more.","我再呆在这里也没有什么意义了。"
"traveler:ELISA","Thank you.","谢谢你。"
"traveler:PRISON_GUARD_REPORTDETAINS","You detained nobody.","你一个人也没有扣押。"
"traveler:PRISON_GUARD_REPORTDETAINS","You detained only one person.","你只扣押了一个人。"
"traveler:PRISON_GUARD_REPORTDETAINS","You detained ${Game/NumDetains} people.","你扣押了${Game/NumDetains}个人。"
"traveler:PRISON_GUARD0","Hello.","你好。"
"traveler:PRISON_GUARD0","@Are you the spy?","@你是间谍吗？"
"traveler:PRISON_GUARD0","What? No.","什么？不是。"
"traveler:PRISON_GUARD0","I am guard here. My name is Calensk.","我是这里的卫兵，我叫Calensk。"
"traveler:PRISON_GUARD0","They told me I get good position, then send me here.","他们告诉我给了我一个好岗位，然后把我送到了这儿。"
"traveler:PRISON_GUARD0","This is thanks I get.","我本来还满心感谢。"
"traveler:PRISON_GUARD0","Now they pay me almost nothing.","但现在他们给我发的钱少的可怜。"
"traveler:PRISON_GUARD0","@They pay us all as much.","@他们付给我们所有人的工资都一样。"
"traveler:PRISON_GUARD0","Yes. But look.","对啊。不过你看。"
"traveler:PRISON_GUARD0","I get small bonus when you detain people.","每当你扣押一个人的时候，我就会得到一些奖金。"
"traveler:PRISON_GUARD0","More you detain, more they give me for processing.","你扣押的人越多，他们就付给我越多用于处理这些扣押的事。"
"traveler:PRISON_GUARD0","But this is not fair, right? You should get something too.","但这不公平是不是？你也应该分到一杯羹。"
"traveler:PRISON_GUARD0","So I fix this problem.","所以我会解决这个问题。"
"traveler:PRISON_GUARD0","I give you 5 credits from my bonus for every two people you detain.","每当你扣押两个人，我就会从我的奖金中分5分给你。"
"traveler:PRISON_GUARD0","Sounds like good deal to me.","对于我来说这个很不错。"
"traveler:PRISON_GUARD0","I give money to you after I get paid.","我一拿到钱就会把你的份给你。"
"traveler:PRISON_GUARD0","Let us make the best of this.","希望我们合作愉快。"
"traveler:PRISON_GUARD3","Here.","这儿。"
"traveler:PRISON_GUARD3","For bonus and selling bomb parts.","给你的奖金和卖炸弹零件得的钱。"
"traveler:PRISON_GUARD3","They move our station to prison.","他们把我们调去监狱的岗位了。"
"traveler:PRISON_GUARD3","We still get bonus so keep detaining.~","我们仍然会收到奖金，所以继续扣押更多的人。~"
"traveler:PRISON_GUARD3","I stop visiting you here.","我不会再来你这里。"
"traveler:PRISON_GUARD3","I will drop off money at your home instead.","但我会把钱直接送到你家里。"
"traveler:PRISON_GUARD3","Every other night.","每隔一晚。"
"traveler:PRISON_GUARD_PAYOUT","What is going on?","出什么问题了？"
"traveler:PRISON_GUARD_PAYOUT","I am getting nothing because of you.","我一个子儿也没捞到，就是因为你。"
